
FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,date,dep_temperature_2m,dep_apparent_temperature,dep_rain,dep_wind_speed_10m,dep_wind_speed_100m,dep_cloud_cover,dep_cloud_cover_low,dep_cloud_cover_mid,dep_cloud_cover_high,dep_wind_direction_10m,dep_wind_direction_100m,dep_wind_gusts_10m,dep_snow_depth,date,dest_temperature_2m,dest_apparent_temperature,dest_rain,dest_wind_speed_10m,dest_wind_speed_100m,dest_cloud_cover,dest_cloud_cover_low,dest_cloud_cover_mid,dest_cloud_cover_high,dest_wind_direction_10m,dest_wind_direction_100m,dest_wind_gusts_10m,dest_snow_depth
2020-03-17,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1131,IAH,"Houston, TX",MSY,"New Orleans, LA",1447,1440.0,-7.0,15.0,1455.0,1541.0,2.0,1603,1543.0,-20.0,0.0,,0.0,76.0,63.0,46.0,305.0,,,,,,2020-03-17 15:00:00,20.476,21.659504,0.0,16.279802,23.34455,72.3,40.0,14.0,93.0,108.03438,107.03786,31.319998,0.0,2020-03-17 16:00:00,23.5695,27.021425,0.0,1.0182338,2.0991426,95.7,36.0,58.0,95.0,224.9999,210.96368,16.199999,0.0
2019-11-03,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2650,LAX,"Los Angeles, CA",LAS,"Las Vegas, NV",745,742.0,-3.0,7.0,749.0,833.0,3.0,855,836.0,-19.0,0.0,,0.0,70.0,54.0,44.0,236.0,,,,,,2019-11-03 08:00:00,13.074,10.659721,0.0,11.246759,9.255571,0.0,0.0,0.0,0.0,50.194473,76.50425,14.759999,0.0,2019-11-03 09:00:00,13.2325,8.657162,0.0,7.92,6.439876,0.0,0.0,0.0,0.0,270.0,333.43503,9.0,0.0
2020-04-02,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,3263,OMA,"Omaha, NE",STL,"St. Louis, MO",600,554.0,-6.0,8.0,602.0,658.0,3.0,715,701.0,-14.0,0.0,,0.0,75.0,67.0,56.0,342.0,,,,,,2020-04-02 06:00:00,14.558001,10.61454,0.0,21.461555,37.585102,61.800003,13.0,34.0,99.0,157.30617,159.82927,38.16,0.0,2020-04-02 07:00:00,7.75,4.1854115,0.0,12.496718,26.712873,36.300003,0.0,19.0,83.0,138.50363,142.66673,22.319998,0.0
2022-09-03,Envoy Air,Envoy Air: MQ,MQ,20398,3936,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1330,1326.0,-4.0,15.0,1341.0,1417.0,4.0,1436,1421.0,-15.0,0.0,,0.0,66.0,55.0,36.0,196.0,,,,,,2022-09-03 13:00:00,22.2915,24.563608,0.2,5.771239,11.212135,12.900001,5.0,14.0,0.0,266.42374,264.47256,29.88,0.0,2022-09-03 15:00:00,23.7745,26.069595,0.0,12.229406,15.546833,96.6,100.0,0.0,22.0,317.38596,317.8156,24.119999,0.0
2021-05-04,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1614,LAS,"Las Vegas, NV",SLC,"Salt Lake City, UT",1720,1719.0,-1.0,17.0,1736.0,1932.0,4.0,1945,1936.0,-9.0,0.0,,0.0,85.0,77.0,56.0,368.0,,,,,,2021-05-04 17:00:00,24.6325,22.280369,0.0,3.7585104,4.3498964,0.0,0.0,0.0,0.0,16.699326,24.443953,14.759999,0.0,2021-05-04 20:00:00,17.642,14.913734,0.0,16.641972,20.08916,0.0,0.0,0.0,0.0,308.8534,306.25394,36.36,0.0
2022-06-16,Republic Airline,Republic Airline: YX,YX,20452,4609,ATL,"Atlanta, GA",LGA,"New York, NY",1155,1153.0,-2.0,47.0,1240.0,1430.0,13.0,1415,1443.0,28.0,0.0,,0.0,140.0,170.0,110.0,762.0,0.0,0.0,28.0,0.0,0.0,2022-06-16 12:00:00,24.5025,28.615723,0.0,8.4963045,16.965895,0.0,0.0,0.0,0.0,53.61555,72.718414,14.04,0.0,2022-06-16 14:00:00,18.8085,19.208492,1.4,13.684735,20.188908,67.5,37.0,7.0,100.0,181.5074,183.06642,32.760002,0.0
2019-03-09,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,5601,MEM,"Memphis, TN",HOU,"Houston, TX",540,535.0,-5.0,10.0,545.0,719.0,7.0,725,726.0,1.0,0.0,,0.0,105.0,111.0,94.0,484.0,,,,,,2019-03-09 06:00:00,13.632501,13.769634,0.2,6.489992,14.05845,100.0,100.0,32.0,31.0,93.17977,129.80553,17.28,0.0,2019-03-09 07:00:00,20.2825,20.857956,0.0,21.479666,33.041645,100.0,100.0,0.0,97.0,166.42955,168.69011,36.36,0.0
2023-08-12,Republic Airline,Republic Airline: YX,YX,20452,4570,IND,"Indianapolis, IN",JFK,"New York, NY",745,845.0,60.0,10.0,855.0,1026.0,10.0,1000,1036.0,36.0,0.0,,0.0,135.0,111.0,91.0,665.0,0.0,36.0,0.0,0.0,0.0,2023-08-12 08:00:00,21.9025,24.645922,0.0,10.514218,22.932877,60.9,5.0,44.0,100.0,218.04709,227.54485,18.0,0.0,2023-08-12 10:00:00,17.452,17.974142,0.0,7.2359104,14.372974,24.900002,0.0,0.0,83.0,84.2895,112.067955,10.799999,0.0
2022-03-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,717,LAS,"Las Vegas, NV",ATL,"Atlanta, GA",715,713.0,-2.0,14.0,727.0,1337.0,5.0,1351,1342.0,-9.0,0.0,,0.0,216.0,209.0,190.0,1747.0,,,,,,2022-03-21 07:00:00,12.2825,5.021595,0.0,25.6233,40.257275,2.4,0.0,0.0,8.0,335.95578,334.58075,48.239998,0.0,2022-03-21 14:00:00,11.4025,8.728182,0.0,9.779817,23.14103,14.400001,0.0,0.0,48.0,96.340096,95.355736,20.880001,0.0
2023-01-01,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1336,EWR,"Newark, NJ",FLL,"Fort Lauderdale, FL",1400,1615.0,135.0,18.0,1633.0,1859.0,6.0,1712,1905.0,113.0,0.0,,0.0,192.0,170.0,146.0,1065.0,17.0,0.0,0.0,0.0,96.0,2023-01-01 14:00:00,9.393,6.7110653,0.0,14.799459,24.149532,29.7,26.0,0.0,21.0,265.81516,280.30478,24.119999,0.0,2023-01-01 17:00:00,26.7825,31.362137,0.0,1.0182338,1.08,21.599998,24.0,0.0,0.0,135.0001,180.0,13.679999,0.0
